021-07-07 13:18:48,200 - DEBUG - Using function toMarkdown
2021-08-18 09:30:45,723 - DEBUG - Using function getCurrency
2021-08-18 09:30:50,819 - DEBUG - Using function parseText
2021-08-18 09:30:50,820 - DEBUG - Using function getCurrency
2021-08-18 09:30:50,821 - DEBUG - Using function getAmount
2021-08-18 09:30:50,821 - DEBUG - Using function getType
2021-08-18 09:30:50,822 - DEBUG - Using function getCurrency
2021-08-18 09:34:08,560 - DEBUG - Using function parseText
2021-08-18 09:34:08,561 - DEBUG - Using function getCurrency
2021-08-18 09:34:08,562 - DEBUG - Using function getAmount
2021-08-18 09:34:08,563 - DEBUG - Using function getType
2021-08-18 09:34:08,563 - DEBUG - Using function getCurrency
2021-08-18 09:34:08,566 - DEBUG - Using function parseText
2021-08-18 09:34:08,567 - DEBUG - Using function getCurrency
2021-08-18 09:34:08,567 - DEBUG - Using function getAmount
2021-08-18 09:34:08,568 - DEBUG - Using function getType
2021-08-18 09:34:08,568 - DEBUG - Using function getCurrency
2021-08-18 09:34:40,435 - DEBUG - Using function parseText
2021-08-18 09:34:40,437 - DEBUG - Using function getCurrency
2021-08-18 09:34:40,437 - DEBUG - Using function getAmount
2021-08-18 09:34:40,438 - DEBUG - Using function getType
2021-08-18 09:34:40,438 - DEBUG - Using function getCurrency
2021-08-18 09:34:40,442 - DEBUG - Using function parseText
2021-08-18 09:34:40,442 - DEBUG - Using function getCurrency
2021-08-18 09:34:40,443 - DEBUG - Using function getAmount
2021-08-18 09:34:40,448 - DEBUG - Using function getType
2021-08-18 09:34:40,449 - DEBUG - Using function getCurrency
2021-08-18 09:34:45,308 - DEBUG - Using function parseText
2021-08-18 09:34:45,310 - DEBUG - Using function getCurrency
2021-08-18 09:34:45,310 - DEBUG - Using function getAmount
2021-08-18 09:34:45,311 - DEBUG - Using function getType
2021-08-18 09:34:45,311 - DEBUG - Using function getCurrency
2021-08-18 09:34:45,315 - DEBUG - Using function parseText
2021-08-18 09:34:45,316 - DEBUG - Using function getCurrency
2021-08-18 09:34:45,316 - DEBUG - Using function getAmount
2021-08-18 09:34:45,317 - DEBUG - Using function getType
2021-08-18 09:34:45,318 - DEBUG - Using function getCurrency
2021-08-18 09:35:36,492 - DEBUG - Using function parseText
2021-08-18 09:35:36,493 - DEBUG - Using function getCurrency
2021-08-18 09:35:36,494 - DEBUG - Using function getAmount
2021-08-18 09:35:36,494 - DEBUG - Using function getType
2021-08-18 09:35:36,495 - DEBUG - Using function getCurrency
2021-08-18 09:35:36,499 - DEBUG - Using function parseText
2021-08-18 09:35:36,500 - DEBUG - Using function getCurrency
2021-08-18 09:35:36,500 - DEBUG - Using function getAmount
2021-08-18 09:35:36,501 - DEBUG - Using function getType
2021-08-18 09:35:36,501 - DEBUG - Using function getCurrency
2021-08-18 09:39:04,332 - DEBUG - Using function parseText
2021-08-18 09:39:04,334 - DEBUG - Using function getCurrency
2021-08-18 09:39:04,335 - DEBUG - Using function getAmount
2021-08-18 09:39:04,335 - DEBUG - Using function getType
2021-08-18 09:39:04,336 - DEBUG - Using function getCurrency
2021-08-18 09:39:04,341 - DEBUG - Using function parseText
2021-08-18 09:39:04,341 - DEBUG - Using function getCurrency
2021-08-18 09:39:04,342 - DEBUG - Using function getAmount
2021-08-18 09:39:04,342 - DEBUG - Using function getType
2021-08-18 09:39:04,343 - DEBUG - Using function getCurrency
2021-08-18 09:39:04,347 - DEBUG - Using function parseText
2021-08-18 09:39:04,348 - DEBUG - Using function getCurrency
